"Código SIGEP","Nombre de la entidad","Nit","Orden","Suborden","Código DIVIPOLA Departamento","Departamento","Código DIVIPOLA Municipio ","Municipio","Clasificación Orgánica","Sector","Nivel","Tipo de Vinculacíon ","Naturaleza jurídica ","Longitud","Latitud","Año","Trimestre","Fuente","Tipo nombramiento: Asesor","Tipo nombramiento: Profesional","Tipo nombramiento: Técnico","Tipo nombramiento: Directivo","Tipo nombramiento: Asistencial","Tipo nombramiento: Otro","Tipo nombramiento: Provisional","Tipo nombramiento: Libre Nombramiento Y Remoción","Tipo nombramiento: Temporal","Tipo nombramiento: Trabajador Oficial","Tipo nombramiento: Escalafonado En Carrera","Tipo nombramiento: Elección Popular","Tipo nombramiento: Periodo Fijo","Tipo nombramiento: Periodo De Prueba","Edad: Menor o igual a 29","Edad: 30-39","Edad: 40-49","Edad: 50-62","Edad: 63 y más","Edad: No reporta","Sexo: Hombre","Sexo: Mujer","Estado civil: Casado/a","Estado civil: Soltero/a","Estado civil: Unión Libre","Estado civil: Divorciado/a","Estado civil: Viudo/a","Estado civil: No reporta","Tipo de discapacidad: Intelectual","Tipo de discapacidad: Fisica","Tipo de discapacidad: Visual","Tipo de discapacidad: Psicosocial","Tipo de discapacidad: Múltiple","Tipo de discapacidad: Auditiva","Tipo de discapacidad: Otra","Salario mensual promedio","Nivel educativo: Primaria","Nivel educativo: Secundaria","Nivel educativo: Técnico - Tecnólogo","Nivel educativo: Profesional","Nivel educativo: Especialización","Nivel educativo: Maestría","Nivel educativo: Doctorado","Nivel educativo: No reporta","Número hijos: 0","Número hijos: 1","Número hijos: 2","Número hijos: 3","Número hijos: 4 o más","Número hijos: No reporta","Vinculados","meta_vinculacion","cumplimiento"
"0040","ALCALDIA DE MAICAO","892120020","TERRITORIAL","MUNICIPAL","44","LA GUAJIRA","44430","MAICAO","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-72,248517","11,378934","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","40","30","50","10","0","0","0","0","0","0","0","0","0","0","0","100","0","10","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","70","0","150","2","Cumple"
"0223","ALCALDIA DE CHINCHINA","890801133","TERRITORIAL","MUNICIPAL","17","CALDAS","17174","CHINCHINÁ","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,60526","4,98273","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","1","Cumple"
"0278","ALCALDIA DE COPACABANA","890980767","TERRITORIAL","MUNICIPAL","05","ANTIOQUIA","05212","COPACABANA","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,505078","6,357621","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","3","15","3","Cumple"
"0364","UNIVERSIDAD TECNOLOGICA DE PEREIRA","891480035","NACIONAL","NO APLICA","66","RISARALDA","66001","PEREIRA","ORGANOS AUTÓNOMOS","EDUCACIÓN","NO APLICA","NO APLICA","ENTE UNIVERSITARIO AUTÓNOMO","-75,690601","4,808717","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","8","8","0","0","0","0","0","0","0","0","6","0","0","8","0","2","0","0","0","0","0","0","0","0","0","0","6","10","0","0","0","8","4","22","13","Cumple"
"0463","ALCALDIA DE RIOFRIO  VALLE","891900357","TERRITORIAL","MUNICIPAL","76","VALLE DEL CAUCA","76616","RIOFRÍO","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-76,287762","4,15663","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","20","1","Cumple"
"0511","ALCALDIA DE YUMBO","890399025","TERRITORIAL","MUNICIPAL","76","VALLE DEL CAUCA","76892","YUMBO","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-76,495026","3,545337","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","42","28","16","0","0","0","0","0","0","0","0","6","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","6","40","4","2","4","34","2","90","9","Cumple"
"0682","ALCALDIA DE LA CEJA DEL TAMBO","890981207","TERRITORIAL","MUNICIPAL","05","ANTIOQUIA","05376","LA CEJA","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,431596","6,027632","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","3","9","4","Cumple"
"0879","ALCALDIA DE PIVIJAY","891780050","TERRITORIAL","MUNICIPAL","47","MAGDALENA","47551","PIVIJAY","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-74,614654","10,461181","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","4","1","Cumple"
"1061","ALCALDIA DE SAN MIGUEL DE SEMA","891801286","TERRITORIAL","MUNICIPAL","15","BOYACÁ","15676","SAN MIGUEL DE SEMA","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-73,722497","5,517709","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","21","NULL","Cumple"
"1112","ALCALDIA DE SANTUARIO","891480034","TERRITORIAL","MUNICIPAL","66","RISARALDA","66687","SANTUARIO","RAMA EJECUTIVA","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA","-75,964144","5,075748","2,025","1","30--2025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","5","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","5","60","0","0","0","5","70","1","Cumple"
